Training History
Val_PSNR: 26.9489
Val_SSIM: 0.783183

Epoch 30:
G_Loss: 0.026701
D_Loss: 2.000000
Val_PSNR: 28.4325
Val_SSIM: 0.810087

Epoch 31:
G_Loss: 0.026377
D_Loss: 2.000000
Val_PSNR: 27.9649
Val_SSIM: 0.803219

Epoch 32:
G_Loss: 0.026269
D_Loss: 2.000000
Val_PSNR: 28.1721
Val_SSIM: 0.802272

Epoch 33:
G_Loss: 0.026096
D_Loss: 2.000000
Val_PSNR: 28.4095
Val_SSIM: 0.814400

Epoch 34:
G_Loss: 0.025762
D_Loss: 2.000000
Val_PSNR: 28.9100
Val_SSIM: 0.832927

Epoch 35:
G_Loss: 0.025940
D_Loss: 2.000000
Val_PSNR: 29.4224
Val_SSIM: 0.843394

Epoch 36:
G_Loss: 0.025610
D_Loss: 2.000000
Val_PSNR: 28.0607
Val_SSIM: 0.806267

Epoch 37:
G_Loss: 0.025478
D_Loss: 2.000000
Val_PSNR: 28.7582
Val_SSIM: 0.826195

Epoch 38:
G_Loss: 0.025393
D_Loss: 2.000000
Val_PSNR: 27.4304
Val_SSIM: 0.811898

Epoch 39:
G_Loss: 0.025219
D_Loss: 2.000000
Val_PSNR: 28.6495
Val_SSIM: 0.820257

Epoch 40:
G_Loss: 0.025161
D_Loss: 2.000000
Val_PSNR: 29.4220
Val_SSIM: 0.837878

Epoch 41:
G_Loss: 0.025022
D_Loss: 2.000000
Val_PSNR: 28.8541
Val_SSIM: 0.823169

Epoch 42:
G_Loss: 0.024926
D_Loss: 2.000000
Val_PSNR: 28.8171
Val_SSIM: 0.824744

Epoch 43:
G_Loss: 0.024793
D_Loss: 2.000000
Val_PSNR: 29.0188
Val_SSIM: 0.825932

Epoch 44:
G_Loss: 0.024838
D_Loss: 2.000000
Val_PSNR: 29.1519
Val_SSIM: 0.825272

Epoch 45:
G_Loss: 0.024672
D_Loss: 2.000000
Val_PSNR: 29.4281
Val_SSIM: 0.835649

Epoch 46:
G_Loss: 0.024464
D_Loss: 2.000000
Val_PSNR: 30.1056
Val_SSIM: 0.851804

Epoch 47:
G_Loss: 0.024430
D_Loss: 2.000000
Val_PSNR: 29.0088
Val_SSIM: 0.820919

Epoch 48:
G_Loss: 0.024574
D_Loss: 2.000000
Val_PSNR: 28.9654
Val_SSIM: 0.825291

Epoch 49:
G_Loss: 0.024314
D_Loss: 2.000000
Val_PSNR: 29.0558
Val_SSIM: 0.829058

Epoch 50:
G_Loss: 0.024223
D_Loss: 2.000000
Val_PSNR: 29.6408
Val_SSIM: 0.843314

Epoch 51:
G_Loss: 0.024255
D_Loss: 2.000000
Val_PSNR: 29.6864
Val_SSIM: 0.837357

Epoch 52:
G_Loss: 0.024053
D_Loss: 2.000000
Val_PSNR: 30.1403
Val_SSIM: 0.859451

Epoch 53:
G_Loss: 0.024132
D_Loss: 2.000000
Val_PSNR: 30.3200
Val_SSIM: 0.854414

Epoch 54:
G_Loss: 0.023868
D_Loss: 2.000000
Val_PSNR: 29.7157
Val_SSIM: 0.830778

Epoch 55:
G_Loss: 0.023977
D_Loss: 2.000000
Val_PSNR: 30.5374
Val_SSIM: 0.857823

Epoch 56:
G_Loss: 0.023715
D_Loss: 2.000000
Val_PSNR: 30.1207
Val_SSIM: 0.847274

Epoch 57:
G_Loss: 0.023718
D_Loss: 2.000000
Val_PSNR: 30.5754
Val_SSIM: 0.858644

Epoch 58:
G_Loss: 0.023663
D_Loss: 2.000000
Val_PSNR: 29.6159
Val_SSIM: 0.832643

Epoch 59:
G_Loss: 0.023670
D_Loss: 2.000000
Val_PSNR: 30.2262
Val_SSIM: 0.840484

Epoch 60:
G_Loss: 0.023669
D_Loss: 2.000000
Val_PSNR: 30.0409
Val_SSIM: 0.854997

Epoch 61:
G_Loss: 0.023391
D_Loss: 2.000000
Val_PSNR: 30.4775
Val_SSIM: 0.858221

Epoch 62:
G_Loss: 0.023481
D_Loss: 2.000000
Val_PSNR: 30.5447
Val_SSIM: 0.857254

Epoch 63:
G_Loss: 0.023718
D_Loss: 2.000000
Val_PSNR: 30.6591
Val_SSIM: 0.860166

Epoch 64:
G_Loss: 0.023523
D_Loss: 2.000000
Val_PSNR: 30.6180
Val_SSIM: 0.871289

Epoch 65:
G_Loss: 0.023415
D_Loss: 2.000000
Val_PSNR: 30.9069
Val_SSIM: 0.872131

Epoch 66:
G_Loss: 0.023234
D_Loss: 2.000000
Val_PSNR: 30.7559
Val_SSIM: 0.860539

Epoch 67:
G_Loss: 0.023331
D_Loss: 2.000000
Val_PSNR: 30.7960
Val_SSIM: 0.873277

Epoch 68:
G_Loss: 0.023069
D_Loss: 2.000000
Val_PSNR: 30.8959
Val_SSIM: 0.870216

Epoch 69:
G_Loss: 0.023177
D_Loss: 2.000000
Val_PSNR: 30.5473
Val_SSIM: 0.861858

Epoch 70:
G_Loss: 0.023166
D_Loss: 2.000000
Val_PSNR: 30.9601
Val_SSIM: 0.874504

Epoch 71:
G_Loss: 0.022987
D_Loss: 2.000000
Val_PSNR: 31.0565
Val_SSIM: 0.873692

Epoch 72:
G_Loss: 0.022919
D_Loss: 2.000000
Val_PSNR: 30.8697
Val_SSIM: 0.870530

Epoch 73:
G_Loss: 0.023011
D_Loss: 2.000000
Val_PSNR: 31.0070
Val_SSIM: 0.879660

Epoch 74:
G_Loss: 0.022826
D_Loss: 2.000000
Val_PSNR: 30.8459
Val_SSIM: 0.864706

Epoch 75:
G_Loss: 0.022831
D_Loss: 2.000000
Val_PSNR: 30.9520
Val_SSIM: 0.872294

Epoch 76:
G_Loss: 0.022676
D_Loss: 2.000000
Val_PSNR: 30.6210
Val_SSIM: 0.857130

Epoch 77:
G_Loss: 0.022831
D_Loss: 2.000000
Val_PSNR: 31.0180
Val_SSIM: 0.876907

Epoch 78:
G_Loss: 0.022975
D_Loss: 2.000000
Val_PSNR: 30.7066
Val_SSIM: 0.870448

Epoch 79:
G_Loss: 0.022773
D_Loss: 2.000000
Val_PSNR: 31.0369
Val_SSIM: 0.871745

Epoch 80:
G_Loss: 0.022913
D_Loss: 2.000000
Val_PSNR: 31.1559
Val_SSIM: 0.874648

Epoch 81:
G_Loss: 0.022741
D_Loss: 2.000000
Val_PSNR: 31.1782
Val_SSIM: 0.874390

Epoch 82:
G_Loss: 0.022700
D_Loss: 2.000000
Val_PSNR: 31.1033
Val_SSIM: 0.877204

Epoch 83:
G_Loss: 0.022515
D_Loss: 2.000000
Val_PSNR: 31.1548
Val_SSIM: 0.876341

Epoch 84:
G_Loss: 0.022710
D_Loss: 2.000000
Val_PSNR: 31.1744
Val_SSIM: 0.874848

Epoch 85:
G_Loss: 0.022650
D_Loss: 2.000000
Val_PSNR: 31.1222
Val_SSIM: 0.878865

Epoch 86:
G_Loss: 0.022501
D_Loss: 2.000000
Val_PSNR: 31.2567
Val_SSIM: 0.878912

Epoch 87:
G_Loss: 0.022524
D_Loss: 2.000000
Val_PSNR: 30.6941
Val_SSIM: 0.872055

Epoch 88:
G_Loss: 0.022461
D_Loss: 2.000000
Val_PSNR: 31.2701
Val_SSIM: 0.875706

Epoch 89:
G_Loss: 0.022625
D_Loss: 2.000000
Val_PSNR: 31.1069
Val_SSIM: 0.868474

Epoch 90:
G_Loss: 0.022350
D_Loss: 2.000000
Val_PSNR: 31.2111
Val_SSIM: 0.883388

Epoch 91:
G_Loss: 0.022387
D_Loss: 2.000000
Val_PSNR: 31.0862
Val_SSIM: 0.877243

Epoch 92:
G_Loss: 0.022381
D_Loss: 2.000000
Val_PSNR: 31.1414
Val_SSIM: 0.872020

Epoch 93:
G_Loss: 0.022410
D_Loss: 2.000000
Val_PSNR: 31.1915
Val_SSIM: 0.879545

Epoch 94:
G_Loss: 0.022098
D_Loss: 2.000000
Val_PSNR: 31.4301
Val_SSIM: 0.875939

Epoch 95:
G_Loss: 0.022162
D_Loss: 2.000000
Val_PSNR: 31.5103
Val_SSIM: 0.876739

Epoch 96:
G_Loss: 0.022212
D_Loss: 2.000000
Val_PSNR: 31.2015
Val_SSIM: 0.876933

Epoch 97:
G_Loss: 0.022184
D_Loss: 2.000000
Val_PSNR: 31.3646
Val_SSIM: 0.880805

Epoch 98:
G_Loss: 0.022069
D_Loss: 2.000000
Val_PSNR: 31.2970
Val_SSIM: 0.877980

Epoch 99:
G_Loss: 0.021985
D_Loss: 2.000000
Val_PSNR: 31.4261
Val_SSIM: 0.873640

Epoch 100:
G_Loss: 0.022084
D_Loss: 2.000000
Val_PSNR: 31.3413
Val_SSIM: 0.883251

Epoch 101:
G_Loss: 0.022005
D_Loss: 2.000000
Val_PSNR: 31.4733
Val_SSIM: 0.876492

Epoch 102:
G_Loss: 0.022078
D_Loss: 2.000000
Val_PSNR: 31.3834
Val_SSIM: 0.882242

Epoch 103:
G_Loss: 0.021914
D_Loss: 2.000000
Val_PSNR: 31.4166
Val_SSIM: 0.866456

Epoch 104:
G_Loss: 0.022016
D_Loss: 2.000000
Val_PSNR: 31.4981
Val_SSIM: 0.877528

Epoch 105:
G_Loss: 0.021862
D_Loss: 2.000000
Val_PSNR: 31.1699
Val_SSIM: 0.875980

Epoch 106:
G_Loss: 0.021836
D_Loss: 2.000000
Val_PSNR: 31.4870
Val_SSIM: 0.872331

Epoch 107:
G_Loss: 0.021792
D_Loss: 2.000000
Val_PSNR: 31.2576
Val_SSIM: 0.872989

Epoch 108:
G_Loss: 0.021871
D_Loss: 2.000000
Val_PSNR: 31.1973
Val_SSIM: 0.872392

Epoch 109:
G_Loss: 0.021677
D_Loss: 2.000000
Val_PSNR: 31.0716
Val_SSIM: 0.859442

Epoch 110:
G_Loss: 0.021794
D_Loss: 2.000000
Val_PSNR: 30.9736
Val_SSIM: 0.872369

Epoch 111:
G_Loss: 0.021885
D_Loss: 2.000000
Val_PSNR: 31.3235
Val_SSIM: 0.874819

Epoch 112:
G_Loss: 0.021756
D_Loss: 2.000000
Val_PSNR: 31.3399
Val_SSIM: 0.881064

Epoch 113:
G_Loss: 0.021951
D_Loss: 2.000000
Val_PSNR: 31.4910
Val_SSIM: 0.875214

Epoch 114:
G_Loss: 0.021678
D_Loss: 2.000000
Val_PSNR: 30.8701
Val_SSIM: 0.861323

Epoch 115:
G_Loss: 0.021663
D_Loss: 2.000000
Val_PSNR: 31.4686
Val_SSIM: 0.875057

Epoch 116:
G_Loss: 0.021736
D_Loss: 2.000000
Val_PSNR: 31.5421
Val_SSIM: 0.875808

Epoch 117:
G_Loss: 0.021512
D_Loss: 2.000000
Val_PSNR: 31.4829
Val_SSIM: 0.885420

Epoch 118:
G_Loss: 0.021578
D_Loss: 2.000000
Val_PSNR: 31.4656
Val_SSIM: 0.873752

Epoch 119:
G_Loss: 0.021629
D_Loss: 2.000000
Val_PSNR: 31.5067
Val_SSIM: 0.876407

Epoch 120:
G_Loss: 0.021530
D_Loss: 2.000000
Val_PSNR: 31.6170
Val_SSIM: 0.876543

Epoch 121:
G_Loss: 0.021542
D_Loss: 2.000000
Val_PSNR: 31.3590
Val_SSIM: 0.875839

Epoch 122:
G_Loss: 0.021471
D_Loss: 2.000000
Val_PSNR: 31.6650
Val_SSIM: 0.887848

Epoch 123:
G_Loss: 0.021446
D_Loss: 2.000000
Val_PSNR: 31.5831
Val_SSIM: 0.882323

Epoch 124:
G_Loss: 0.021358
D_Loss: 2.000000
Val_PSNR: 31.6824
Val_SSIM: 0.879318

Epoch 125:
G_Loss: 0.021441
D_Loss: 2.000000
Val_PSNR: 31.6410
Val_SSIM: 0.878040

Epoch 126:
G_Loss: 0.021325
D_Loss: 2.000000
Val_PSNR: 31.2794
Val_SSIM: 0.882011

Epoch 127:
G_Loss: 0.021509
D_Loss: 2.000000
Val_PSNR: 31.6495
Val_SSIM: 0.886064

Epoch 128:
G_Loss: 0.021455
D_Loss: 2.000000
Val_PSNR: 31.6253
Val_SSIM: 0.884249

Epoch 129:
G_Loss: 0.021375
D_Loss: 2.000000
Val_PSNR: 31.0683
Val_SSIM: 0.879995

Epoch 130:
G_Loss: 0.021380
D_Loss: 2.000000
Val_PSNR: 31.3945
Val_SSIM: 0.873551

Epoch 131:
G_Loss: 0.021230
D_Loss: 2.000000
Val_PSNR: 31.5435
Val_SSIM: 0.883460

Epoch 132:
G_Loss: 0.021192
D_Loss: 2.000000
Val_PSNR: 31.7361
Val_SSIM: 0.882218

Epoch 133:
G_Loss: 0.021265
D_Loss: 2.000000
Val_PSNR: 31.6282
Val_SSIM: 0.881265

Epoch 134:
G_Loss: 0.021256
D_Loss: 2.000000
Val_PSNR: 31.5217
Val_SSIM: 0.877880

Epoch 135:
G_Loss: 0.021271
D_Loss: 2.000000
Val_PSNR: 31.6321
Val_SSIM: 0.875999

Epoch 136:
G_Loss: 0.021297
D_Loss: 2.000000
Val_PSNR: 31.6117
Val_SSIM: 0.882464

Epoch 137:
G_Loss: 0.021555
D_Loss: 2.000000
Val_PSNR: 31.5073
Val_SSIM: 0.875653

Epoch 138:
G_Loss: 0.021223
D_Loss: 2.000000
Val_PSNR: 31.8455
Val_SSIM: 0.883237

Epoch 139:
G_Loss: 0.021060
D_Loss: 2.000000
Val_PSNR: 31.8369
Val_SSIM: 0.879112

Epoch 140:
G_Loss: 0.020958
D_Loss: 2.000000
Val_PSNR: 31.7262
Val_SSIM: 0.881522

Epoch 141:
G_Loss: 0.021028
D_Loss: 2.000000
Val_PSNR: 31.5782
Val_SSIM: 0.874189

Epoch 142:
G_Loss: 0.021083
D_Loss: 2.000000
Val_PSNR: 31.7366
Val_SSIM: 0.881022

Epoch 143:
G_Loss: 0.021096
D_Loss: 2.000000
Val_PSNR: 31.8059
Val_SSIM: 0.883490

Epoch 144:
G_Loss: 0.020992
D_Loss: 2.000000
Val_PSNR: 31.7916
Val_SSIM: 0.882464

Epoch 145:
G_Loss: 0.021009
D_Loss: 2.000000
Val_PSNR: 31.9112
Val_SSIM: 0.888285

Epoch 146:
G_Loss: 0.020992
D_Loss: 2.000000
Val_PSNR: 31.8558
Val_SSIM: 0.883791

Epoch 147:
G_Loss: 0.021026
D_Loss: 2.000000
Val_PSNR: 31.7222
Val_SSIM: 0.883755

Epoch 148:
G_Loss: 0.021011
D_Loss: 2.000000
Val_PSNR: 31.6985
Val_SSIM: 0.882971

Epoch 149:
G_Loss: 0.020950
D_Loss: 2.000000
Val_PSNR: 31.9283
Val_SSIM: 0.887593

Epoch 150:
G_Loss: 0.020987
D_Loss: 2.000000
Val_PSNR: 31.7182
Val_SSIM: 0.883883

Epoch 151:
G_Loss: 0.020914
D_Loss: 2.000000
Val_PSNR: 31.9998
Val_SSIM: 0.885614

Epoch 152:
G_Loss: 0.020948
D_Loss: 2.000000
Val_PSNR: 31.8935
Val_SSIM: 0.883608

Epoch 153:
G_Loss: 0.020859
D_Loss: 2.000000
Val_PSNR: 31.8387
Val_SSIM: 0.881413

Epoch 154:
G_Loss: 0.020810
D_Loss: 2.000000
Val_PSNR: 31.8410
Val_SSIM: 0.886328

Epoch 155:
G_Loss: 0.020733
D_Loss: 2.000000
Val_PSNR: 31.9663
Val_SSIM: 0.885085

Epoch 156:
G_Loss: 0.020802
D_Loss: 2.000000
Val_PSNR: 31.8439
Val_SSIM: 0.884970

Epoch 157:
G_Loss: 0.020803
D_Loss: 2.000000
Val_PSNR: 31.9037
Val_SSIM: 0.888603

Epoch 158:
G_Loss: 0.020925
D_Loss: 2.000000
Val_PSNR: 31.9084
Val_SSIM: 0.877330

Epoch 159:
G_Loss: 0.020802
D_Loss: 2.000000
Val_PSNR: 31.8969
Val_SSIM: 0.882928

Epoch 160:
G_Loss: 0.020785
D_Loss: 2.000000
Val_PSNR: 32.0558
Val_SSIM: 0.889970

Epoch 161:
G_Loss: 0.020280
D_Loss: 2.000000
Val_PSNR: 32.1769
Val_SSIM: 0.889576

Epoch 162:
G_Loss: 0.020290
D_Loss: 2.000000
Val_PSNR: 32.1287
Val_SSIM: 0.890924

Epoch 163:
G_Loss: 0.020317
D_Loss: 2.000000
Val_PSNR: 32.1898
Val_SSIM: 0.889874

Epoch 164:
G_Loss: 0.020296
D_Loss: 2.000000
Val_PSNR: 32.1220
Val_SSIM: 0.889468

Epoch 165:
G_Loss: 0.020332
D_Loss: 2.000000
Val_PSNR: 32.1258
Val_SSIM: 0.891396

Epoch 166:
G_Loss: 0.020253
D_Loss: 2.000000
Val_PSNR: 32.1549
Val_SSIM: 0.889980

Epoch 167:
G_Loss: 0.020245
D_Loss: 2.000000
Val_PSNR: 32.1251
Val_SSIM: 0.891090

Epoch 168:
G_Loss: 0.020269
D_Loss: 2.000000
Val_PSNR: 32.1869
Val_SSIM: 0.892778

Epoch 169:
G_Loss: 0.020249
D_Loss: 2.000000
Val_PSNR: 32.1066
Val_SSIM: 0.891688

Epoch 170:
G_Loss: 0.020240
D_Loss: 2.000000
Val_PSNR: 32.1785
Val_SSIM: 0.890168

Epoch 171:
G_Loss: 0.020209
D_Loss: 2.000000
Val_PSNR: 32.0738
Val_SSIM: 0.886690

Epoch 172:
G_Loss: 0.020196
D_Loss: 2.000000
Val_PSNR: 32.1944
Val_SSIM: 0.891051

Epoch 173:
G_Loss: 0.020209
D_Loss: 2.000000
Val_PSNR: 32.0179
Val_SSIM: 0.885370

Epoch 174:
G_Loss: 0.020164
D_Loss: 2.000000
Val_PSNR: 32.2024
Val_SSIM: 0.891303

Epoch 175:
G_Loss: 0.020213
D_Loss: 2.000000
Val_PSNR: 32.2237
Val_SSIM: 0.888043

Epoch 176:
G_Loss: 0.020227
D_Loss: 2.000000
Val_PSNR: 32.1552
Val_SSIM: 0.888322

Epoch 177:
G_Loss: 0.020118
D_Loss: 2.000000
Val_PSNR: 32.2455
Val_SSIM: 0.893040

Epoch 178:
G_Loss: 0.020135
D_Loss: 2.000000
Val_PSNR: 32.1739
Val_SSIM: 0.886906

Epoch 179:
G_Loss: 0.020132
D_Loss: 2.000000
Val_PSNR: 32.1515
Val_SSIM: 0.889482

Epoch 180:
G_Loss: 0.020160
D_Loss: 2.000000
Val_PSNR: 32.2220
Val_SSIM: 0.893060

Epoch 181:
G_Loss: 0.020072
D_Loss: 2.000000
Val_PSNR: 32.2645
Val_SSIM: 0.891627

Epoch 182:
G_Loss: 0.020127
D_Loss: 2.000000
Val_PSNR: 32.1942
Val_SSIM: 0.892910

Epoch 183:
G_Loss: 0.020111
D_Loss: 2.000000
Val_PSNR: 32.2254
Val_SSIM: 0.890557

Epoch 184:
G_Loss: 0.020123
D_Loss: 2.000000
Val_PSNR: 32.2337
Val_SSIM: 0.891521

Epoch 185:
G_Loss: 0.020075
D_Loss: 2.000000
Val_PSNR: 32.0773
Val_SSIM: 0.888566

Epoch 186:
G_Loss: 0.019962
D_Loss: 2.000000
Val_PSNR: 32.2541
Val_SSIM: 0.892619

Epoch 187:
G_Loss: 0.019950
D_Loss: 2.000000
Val_PSNR: 32.3125
Val_SSIM: 0.893119

Epoch 188:
G_Loss: 0.019939
D_Loss: 2.000000
Val_PSNR: 32.2581
Val_SSIM: 0.893582

Epoch 189:
G_Loss: 0.019933
D_Loss: 2.000000
Val_PSNR: 32.3276
Val_SSIM: 0.893243

Epoch 190:
G_Loss: 0.019938
D_Loss: 2.000000
Val_PSNR: 32.3106
Val_SSIM: 0.894570

Epoch 191:
G_Loss: 0.019933
D_Loss: 2.000000
Val_PSNR: 32.3256
Val_SSIM: 0.892339

Epoch 192:
G_Loss: 0.019925
D_Loss: 2.000000
Val_PSNR: 32.3036
Val_SSIM: 0.889299

Epoch 193:
G_Loss: 0.019907
D_Loss: 2.000000
Val_PSNR: 32.3087
Val_SSIM: 0.893332

Epoch 194:
G_Loss: 0.019918
D_Loss: 2.000000
Val_PSNR: 32.3546
Val_SSIM: 0.893537

Epoch 195:
G_Loss: 0.019913
D_Loss: 2.000000
Val_PSNR: 32.3121
Val_SSIM: 0.893957

Epoch 196:
G_Loss: 0.019887
D_Loss: 2.000000
Val_PSNR: 32.3255
Val_SSIM: 0.893677

Epoch 197:
G_Loss: 0.019895
D_Loss: 2.000000
Val_PSNR: 32.3040
Val_SSIM: 0.895802

Epoch 198:
G_Loss: 0.019899
D_Loss: 2.000000
Val_PSNR: 32.3439
Val_SSIM: 0.891656

Epoch 199:
G_Loss: 0.019885
D_Loss: 2.000000
Val_PSNR: 32.3497
Val_SSIM: 0.892237

Epoch 200:
G_Loss: 0.019876
D_Loss: 2.000000
Val_PSNR: 32.3437
Val_SSIM: 0.892288

Epoch 201:
G_Loss: 0.019871
D_Loss: 2.000000
Val_PSNR: 32.2922
Val_SSIM: 0.892730

Epoch 202:
G_Loss: 0.019856
D_Loss: 2.000000
Val_PSNR: 32.3613
Val_SSIM: 0.897149

Epoch 203:
G_Loss: 0.019852
D_Loss: 2.000000
Val_PSNR: 32.3597
Val_SSIM: 0.896463

Epoch 204:
G_Loss: 0.019838
D_Loss: 2.000000
Val_PSNR: 32.3767
Val_SSIM: 0.893625

Epoch 205:
G_Loss: 0.019847
D_Loss: 2.000000
Val_PSNR: 32.3709
Val_SSIM: 0.893152

Epoch 206:
G_Loss: 0.019849
D_Loss: 2.000000
Val_PSNR: 32.3275
Val_SSIM: 0.895787

Epoch 207:
G_Loss: 0.019843
D_Loss: 2.000000
Val_PSNR: 32.3761
Val_SSIM: 0.896337

Epoch 208:
G_Loss: 0.019824
D_Loss: 2.000000
Val_PSNR: 32.3878
Val_SSIM: 0.898786

Epoch 209:
G_Loss: 0.019830
D_Loss: 2.000000
Val_PSNR: 32.3773
Val_SSIM: 0.893751

Epoch 210:
G_Loss: 0.019844
D_Loss: 2.000000
Val_PSNR: 32.3556
Val_SSIM: 0.895120

Epoch 211:
G_Loss: 0.019871
D_Loss: 2.000000
Val_PSNR: 32.3531
Val_SSIM: 0.895274

Epoch 212:
G_Loss: 0.019931
D_Loss: 2.000000
Val_PSNR: 32.3377
Val_SSIM: 0.895743

Epoch 213:
G_Loss: 0.019896
D_Loss: 2.000000
Val_PSNR: 32.3529
Val_SSIM: 0.893454

Epoch 214:
G_Loss: 0.019898
D_Loss: 2.000000
Val_PSNR: 32.3211
Val_SSIM: 0.891307

Epoch 215:
G_Loss: 0.019880
D_Loss: 2.000000
Val_PSNR: 32.2778
Val_SSIM: 0.892353

Epoch 216:
G_Loss: 0.019882
D_Loss: 2.000000
Val_PSNR: 32.3687
Val_SSIM: 0.892230

Epoch 217:
G_Loss: 0.019876
D_Loss: 2.000000
Val_PSNR: 32.1924
Val_SSIM: 0.891471

Epoch 218:
G_Loss: 0.019892
D_Loss: 2.000000
Val_PSNR: 32.2927
Val_SSIM: 0.892383

Epoch 219:
G_Loss: 0.019865
D_Loss: 2.000000
Val_PSNR: 32.2941
Val_SSIM: 0.892032

Epoch 220:
G_Loss: 0.019810
D_Loss: 2.000000
Val_PSNR: 32.3383
Val_SSIM: 0.890031

Epoch 221:
G_Loss: 0.019837
D_Loss: 2.000000
Val_PSNR: 32.3257
Val_SSIM: 0.892742

Epoch 222:
G_Loss: 0.019855
D_Loss: 2.000000
Val_PSNR: 32.2851
Val_SSIM: 0.892349

Epoch 223:
G_Loss: 0.019859
D_Loss: 2.000000
Val_PSNR: 32.3329
Val_SSIM: 0.891545

Epoch 224:
G_Loss: 0.019819
D_Loss: 2.000000
Val_PSNR: 32.3923
Val_SSIM: 0.894342

Epoch 225:
G_Loss: 0.019829
D_Loss: 2.000000
Val_PSNR: 32.3629
Val_SSIM: 0.893181

Epoch 226:
G_Loss: 0.019796
D_Loss: 2.000000
Val_PSNR: 32.3694
Val_SSIM: 0.896381

Epoch 227:
G_Loss: 0.019738
D_Loss: 2.000000
Val_PSNR: 32.4034
Val_SSIM: 0.892637

Epoch 228:
G_Loss: 0.019729
D_Loss: 2.000000
Val_PSNR: 32.4024
Val_SSIM: 0.895784

Epoch 229:
G_Loss: 0.019724
D_Loss: 2.000000
Val_PSNR: 32.4173
Val_SSIM: 0.894122

Epoch 230:
G_Loss: 0.019723
D_Loss: 2.000000
Val_PSNR: 32.4216
Val_SSIM: 0.897237

Epoch 231:
G_Loss: 0.019728
D_Loss: 2.000000
Val_PSNR: 32.4251
Val_SSIM: 0.894470

Epoch 232:
G_Loss: 0.019731
D_Loss: 2.000000
